Métrica,count,mean,std,min,5%,25%,50%,75%,95%,max
Lost_stats_misc_per90,5096.0,15.859459050446054,17.09742336384446,0.0,0.0,5.625189691494661,11.770542234250387,20.126040405931374,48.54757017569215,100.0
Won_per90,5096.0,16.948572236362356,18.296369436794315,0.0,0.0,4.177469472933261,11.671829146385392,23.863727232581432,52.271162767407056,100.0
Att Pen_per90,5096.0,17.232988310724373,18.254719527230076,0.0,0.0,4.093567251461988,11.182108626198085,26.41509433962264,50.94223484848485,100.0
PrgC_stats_possession_per90,5096.0,17.926727804493684,18.716672478893763,0.0,0.0,4.393194524773472,12.987012987012989,25.7968509984639,54.11828022857943,100.0
PrgC_per90,5096.0,17.926727804493684,18.716672478893763,0.0,0.0,4.393194524773472,12.987012987012989,25.7968509984639,54.11828022857943,100.0
Att_stats_defense_per90,5096.0,18.46734355595352,16.49445014692021,0.0,0.0,7.300139722820134,16.14035087719298,25.489581471718346,44.705290537887706,100.0
1/3_stats_possession_per90,5096.0,18.572671850007584,18.654511677739457,0.0,0.0,3.7037037037037037,14.75409836065574,27.35978301865862,52.777089673720724,100.0
Rk_stats_keeper_per90,5096.0,18.68721241728006,9.78121866713449,0.0,17.771570123544468,17.771570123544468,17.771570123544468,17.771570123544468,17.771570123544468,100.0
Rk_stats_keeper_adv_per90,5096.0,18.68721241728006,9.78121866713449,0.0,17.771570123544468,17.771570123544468,17.771570123544468,17.771570123544468,17.771570123544468,100.0
Sh_per90,5096.0,18.700013114169394,19.54935285034183,0.0,0.0,3.9250784665396075,13.146975624949274,28.710579665081035,55.26510480887767,100.0
Mis_per90,5096.0,18.837877462900607,18.43387775701646,0.0,0.0,5.553506098432932,14.565965079073369,26.94018619640529,52.23650075745079,100.0
Clr_per90,5096.0,19.26321823622272,19.651193826042242,0.0,0.0,5.119317697228146,12.698412698412698,28.0829346092504,58.276534433075085,100.0
Tkl_per90,5096.0,19.265476633380054,16.761804310195807,0.0,0.0,8.14814814814815,17.36842105263158,26.596362044314006,46.47887323943662,100.0
PrgR_stats_possession_per90,5096.0,19.87485676327877,19.954381640084808,0.0,0.0,2.3042422746163016,15.979762349650722,30.486541532065004,56.990756343864064,100.0
PrgR_per90,5096.0,19.87485676327877,19.954381640084808,0.0,0.0,2.3042422746163016,15.979762349650722,30.486541532065004,56.990756343864064,100.0
Tkl+Int_per90,5096.0,20.543952942958953,16.19380991151243,0.0,0.0,9.69533830906644,19.26655719759168,28.26855123674912,45.720449992294654,100.0
Born_stats_keeper_adv_per90,5096.0,20.643841161919998,9.640037057815514,0.0,19.776798891157743,19.776798891157743,19.776798891157743,19.776798891157743,19.776798891157743,100.0
Born_stats_keeper_per90,5096.0,20.643841161919998,9.640037057815514,0.0,19.776798891157743,19.776798891157743,19.776798891157743,19.776798891157743,19.776798891157743,100.0
FK_stats_passing_types_per90,5096.0,20.714161507901117,22.470149427823394,0.0,0.0,0.0,14.958552344545316,33.04368054847622,65.69616330537177,100.0
1/3_per90,5096.0,22.22790116599702,19.28278455568843,0.0,0.0,8.359806052499577,18.040667876258347,31.39526291454693,59.161704371535464,100.0
PassLive_per90,5096.0,22.64368799677298,19.041021093264096,0.0,0.0,8.537769692242737,20.115818348064597,32.26715775706762,57.27420501879503,100.0
SCA_per90,5096.0,22.95843990258641,19.12835846053407,0.0,0.0,8.72791868904341,19.801980198019802,33.02174436331541,57.971014492753625,100.0
Att 3rd_stats_possession_per90,5096.0,23.64750664063653,18.3280916157163,0.0,0.0,9.217212533343822,22.186614076173914,33.059470446221475,54.911869838530436,100.0
Dead_per90,5096.0,23.982164131186437,22.686511238477177,0.0,0.0,6.25,16.07142857142857,37.95681193484023,68.08468836836869,100.0
Recov_per90,5096.0,24.981861062598202,14.81783777086763,0.0,0.0,16.604533510154965,24.324324324324326,31.73108898495726,46.15384615384616,100.0
PrgP_stats_passing_per90,5096.0,25.198964097760495,19.134712891443094,0.0,0.0,12.442470389170898,22.95081967213115,34.657551840089674,58.153080243280364,100.0
PrgP_per90,5096.0,25.198964097760495,19.134712891443094,0.0,0.0,12.442470389170898,22.95081967213115,34.657551840089674,58.153080243280364,100.0
CS%,333.0,25.495495495495497,22.51055463576517,0.0,0.0,10.0,23.3,34.2,60.99999999999994,100.0
onGA_per90,5096.0,25.956027291847036,12.90656713899689,0.0,9.928608691050155,23.274480262848677,24.545723775470375,25.660379896006848,44.43047259771555,100.00000000000001
Mid 3rd_stats_possession_per90,5096.0,27.583409236563,16.49478558126114,0.0,0.43209876543209874,17.262723893102773,26.345609065155806,35.63900321752618,55.329670329670336,100.0
PrgDist_stats_possession_per90,5096.0,28.422391269912115,17.44423166513652,0.0,5.705562279712105,17.024273258709083,25.629089784612255,36.52068902342076,60.02518800357128,100.0
Carries_per90,5096.0,28.65288706059877,16.538029492133422,0.0,7.7652873164344935,17.757896278273407,25.81063553826199,36.21010638297872,58.74435035162432,100.0
Touches_per90,5096.0,29.132969747504397,16.632678550228995,0.0,7.047346316991127,17.37025868951966,27.5088086141161,37.677495108274236,56.70251881378646,99.99999999999999
Live_stats_possession_per90,5096.0,29.17091725564672,16.625457498255678,0.0,7.053279248032286,17.427781251321516,27.548858476875985,37.720880820034004,56.73266028582667,100.0
SoT%,4060.0,29.713226600985223,22.943121717182954,0.0,0.0,14.3,30.0,41.7,66.7,100.0
PrgDist_per90,5096.0,29.764871094956018,22.000245689638064,0.0,3.024924158528629,12.818752654735174,25.546360838931566,41.2860872833489,73.62611466490894,100.0
Def 3rd_stats_possession_per90,5096.0,30.209563630701663,23.491095480241324,0.0,3.3472076856686113,10.576912710434518,24.261109824795735,45.48867691902267,74.10989362390336,100.0
TotDist_stats_possession_per90,5096.0,31.643083318061166,17.266615796489585,0.0,9.088959748977821,20.07874280128805,28.90306212332582,39.903228079721536,62.998082722054335,100.0
Rec_per90,5096.0,32.61188804607285,18.045471519821852,0.0,9.598726396341515,20.230291203312692,29.57138205624547,41.23330505334165,66.67845394386678,100.00000000000001
Live_per90,5096.0,32.93704802293987,18.420794450272634,0.0,8.233588164394353,19.764425262719726,30.429911993438203,42.70235926362385,66.71305168288721,100.00000000000001
Att_per90,5096.0,33.73339443588359,18.518202543531338,0.0,7.367738137805998,20.7717569078223,31.8786940771396,43.782152568869,67.20559204367089,100.0
Att_stats_passing_types_per90,5096.0,33.73339443588359,18.518202543531338,0.0,7.367738137805998,20.7717569078223,31.8786940771396,43.782152568869,67.20559204367089,100.0
#OPA_per90,5096.0,34.18417943079642,9.214876184614235,0.0,33.52121032334615,33.52121032334615,33.52121032334615,33.52121032334615,33.52121032334615,100.00000000000001
Launch%,346.0,34.25028901734104,13.991005907118987,0.0,14.375,25.6,31.85,41.775,59.175,92.3
TotDist_per90,5096.0,34.90872283070251,20.199152314185188,0.0,6.861324029939758,19.476601982387404,33.26429709961934,46.42924509742419,72.28118152794978,100.0
onxGA_per90,5096.0,35.127634740161696,12.192632288550515,0.0,20.821618770793815,32.57985115582137,33.855613576688434,35.19413998977978,54.01695732784341,100.0
Cmp_per90,5096.0,35.54809544732978,19.8897001212323,0.0,8.633068388729416,21.123232285044317,33.01439344235777,46.35190622746236,73.09879641652878,100.0
